country,iso3c,year,Pillar 1  - Data Use - Score,Pillar 2 - Data Services - Score,Pillar 3 - Data Products - Score,Pillar 4 - Data Sources - Score,Pillar 5 - Data Infrastructure - Score,SPI Overall Score,Dimension 1.5: Data use by international organizations,Dimension 2.1: Data Releases,Dimension 2.2: Online access,Dimension 2.4: Data services,Dimension 3.1: Social Statistics,Dimension 3.2: Economic Statistics,Dimension 3.3: Environmental Statistics,Dimension 3.4: Institutional Statistics,Dimension 4.1: Censuses,Dimension 4.1: Surveys,Dimension 4.2: Administrative Data,Dimension 4.3: Geospatial Data,Dimension 5.1: Legislation and governance,Dimension 5.2: Standards and Methods,Dimension 5.5: Finance,Dimension 1.5: Data use by international organisations - Availability of Comparable Poverty headcount ratio at $2.15 a day,"Dimension 1.5: Data use by international organisations - Availability of Mortality rate, under-5 (per 1,000 live births) data meeting quality standards according to UN IGME",Dimension 1.5: Data use by international organisations - Quality of Debt service data according to World Bank,Dimension 1.5: Data use by international organisations - Safely Managed Drinking Water,Dimension 1.5: Data use by international organisations - Labor force participation rate by sex and age (%),Dimension 2.1: Data releases - SDDS/e-GDDS subscription,Dimension 2.2: Online access - Machine Readability Score,Dimension 2.2: Online access - Non-Proprietary format Score,Dimension 2.2: Online access - Download Options Score,Dimension 2.2: Online access - Metadata Available Score,Dimension 2.2: Online access - Terms of Use Score,Dimension 2.2: Online access - ODIN Open Data Openness score,Dimension 2.4: Data access services - NADA metadata,Dimension 3.1: SDG Goal 1 - GOAL 1: No Poverty,Dimension 3.2: SDG Goal 2 - GOAL 2: Zero Hunger,Dimension 3.3: SDG Goal 3 - GOAL 3: Good Health and Well-being,Dimension 3.4: SDG Goal 4 - GOAL 4: Quality Education,Dimension 3.5: SDG Goal 5 - GOAL 5: Gender Equality,Dimension 3.6: SDG Goal 6 - GOAL 6: Clean Water and Sanitation,Dimension 3.7: SDG Goal 7 - GOAL 7: Affordable and Clean Energy,Dimension 3.8: SDG Goal 8 - GOAL 8: Decent Work and Economic Growth,"Dimension 3.9: SDG Goal 9 - GOAL 9: Industry, Innovation and Infrastructure",Dimension 3.10: SDG Goal 10 - GOAL 10: Reduced Inequality,Dimension 3.11: SDG Goal 11 - GOAL 11: Sustainable Cities and Communities,Dimension 3.12: SDG Goal 12 - GOAL 12: Responsible Consumption and Production,Dimension 3.13: SDG Goal 13 - GOAL 13: Climate Action,Dimension 3.15: SDG Goal 15 - GOAL 15: Life on Land,Dimension 3.16: SDG Goal 16 - GOAL 16: Peace and Justice Strong Institutions,Dimension 3.17: SDG Goal 17 - GOAL 17: Partnerships to achieve the Goal,Dimension 4.1: censuses and surveys - Population & Housing census,Dimension 4.1: censuses and surveys - Agriculture census,Dimension 4.1: censuses and surveys - Business/establishment census,"Dimension 4.1: censuses and surveys - Household Survey on income, etc",Dimension 4.1: censuses and surveys - Agriculture survey,Dimension 4.1: censuses and surveys - Labor Force Survey,Dimension 4.1: censuses and surveys - Health/Demographic survey,Dimension 4.1: censuses and surveys - Business/establishment survey,Dimension 4.2: administrative data - CRVS (WDI),Dimension 4.3: geospatial data - Geospatial data available at 1st Admin Level,Dimension 5.1: Legislation and governance - Legislation Indicator based on PARIS21 indicators on SDG 17.18.2,Dimension 5.2: standards - System of national accounts in use,Dimension 5.2: standards - National Accounts base year,Dimension 5.2: standards - Classification of national industry,Dimension 5.2: standards - CPI base year,Dimension 5.2: standards - Classification of household consumption,Dimension 5.2: standards - Classification of status of employment,Dimension 5.2: standards - Central government accounting status,Dimension 5.2: standards - Compilation of government finance statistics,Dimension 5.2: standards - Compilation of monetary and financial statistics,Dimension 5.2: standards - Business process,Dimension 5.5: Finance - Finance Indicator based on PARIS21 indicators on SDG 17.18.3 & SDG 17.19.1,income,region,weights,population
Honduras,HND,2022,90,62.1,84.1375,40.16666667,30,61.28083333,0.9,0.5,0.363,1,0.866166667,0.899,0.5665,0.869,0.666666667,0.666,0,0.274,1,0.3,1,1,1,1,1,0.5,0.5,0.752,0.295,0.336,0.433,0,0.363,1,0.857,0.7,0.84,1,0.8,1,0.944,0.875,0.9,0.875,0.8,1,0.333,0.8,0.8,0.938,1,0,1,1,0.33,1,1,0,0,0.274,1,0.5,0,0.5,0,1,0,0,0,1,0,1,Lower middle income,Latin America & Caribbean,1,10432860
Botswana,BWA,2022,50,68.76666667,77.8,64.4,45,61.19333333,0.5,0.5,0.563,1,0.679,0.878166667,0.7835,0.769,1,0.398,1,0.178,1,0.45,1,0,0,1,1,0.5,0.5,0.274,0.867,0.471,0.433,0.771,0.563,1,0.714,0.6,0.76,0.4,0.6,1,0.944,0.875,0.7,0.75,1,1,0.667,0.9,0.6,0.938,1,1,1,0.33,1,0,0.33,0.33,1,0.178,1,0.5,0.5,1,0.5,1,0,0,0,1,0,1,Upper middle income,Sub-Saharan Africa,1,2630296
Lao PDR,LAO,2022,76.6,65.5,79.21875,40.65833333,40,60.39541667,0.766,0.5,0.465,1,0.865666667,0.828166667,0.45,0.806,0.833333333,0.468,0,0.325,-99,0.4,-99,0.5,1,0.33,1,1,0.5,0.619,0.833,0.457,0.417,0,0.465,1,0.714,0.8,0.88,1,0.8,1,0.944,0.875,0.8,0.75,0.6,1,0,0.9,0.8,0.812,1,0.5,1,0.67,0,1,0.67,0,0,0.325,,1,0.5,0,0.5,1,1,0,0,0,0,,Lower middle income,East Asia & Pacific,1,7529475
Timor-Leste,TLS,2022,80,61,64.54375,30.40833333,65,60.19041667,0.8,0.5,0.33,1,0.614333333,0.6555,0.6165,0.7375,0.333333333,0.6,0,0.283,0,0.65,0,0,1,1,1,1,0.5,0.212,0.8,0.214,0.424,0,0.33,1,0.571,0.6,0.64,0.6,0.4,0.875,0.833,0.5,0.3,0.5,0.8,1,0.333,0.9,0.6,0.875,1,0,0,0.67,0,1,0.33,1,0,0.283,0,1,0.5,1,0.5,1,1,0.5,0,1,0,0,Lower middle income,East Asia & Pacific,1,1341296
Bhutan,BTN,2022,80,63.93333333,75.19375,40.50833333,40,59.92708333,0.8,0.5,0.418,1,0.77,0.7115,0.8335,0.7375,0.833333333,0.534,0,0.253,0,0.4,0,0.5,1,1,1,0.5,0.5,0.467,0.933,0.148,0.54,0,0.418,1,1,0.7,0.72,0.8,0.4,1,0.944,0.5,0.4,0.625,0.8,1,0.667,1,0.6,0.875,1,0.5,1,1,0,1,0.67,0,0,0.253,0,0.5,0,0,0.5,1,1,0,0,1,0,0,Lower middle income,South Asia,1,782455
Tonga,TON,2022,70,63.2,75.86875,45.4,45,59.89375,0.7,0.5,0.396,1,0.769833333,0.748166667,0.778,0.7375,1,0.332,0,0.484,1,0.45,1,0,1,1,1,0.5,0.5,0.138,0.867,0.271,0.524,0.181,0.396,1,0.714,0.8,0.68,1,0.8,0.625,0.889,0.75,0.5,0.75,0.8,0.8,0.667,0.889,0.6,0.875,1,1,1,0.33,0,0.33,1,0,0,0.484,1,0.5,0.5,0,0.5,1,1,0,0,1,0,1,Upper middle income,East Asia & Pacific,1,106858
Mozambique,MOZ,2022,70,59.7,76.51875,37.23333333,55,59.69041667,0.7,0.5,0.291,1,0.6115,0.878166667,0.7835,0.869,0.833333333,0.334,0,0.322,1,0.55,1,0.5,1,1,1,0,0.5,0.064,0.826,0.14,0.41,0.017,0.291,1,0.714,0.6,0.68,0.4,0.4,0.875,0.944,0.75,0.7,0.875,1,1,0.667,0.9,0.8,0.938,1,0.5,1,0.67,0,0,1,0,0,0.322,1,1,0.5,0.5,0.5,1,1,0,0,1,0,1,Low income,Sub-Saharan Africa,1,32969518
China,CHN,2022,83.4,43.8,77.51875,43.275,50,59.59875,0.834,1,0.314,0,0.74,0.843,0.7835,0.669,1,0.4,0,0.331,1,0.5,1,1,1,0.67,1,0.5,1,0,0.867,0.417,0.286,0,0.314,0,1,0.8,0.64,0.6,0.4,1,0.833,0.75,0.8,0.875,0.8,1,0.667,0.9,0.4,0.938,1,1,1,1,0.33,0.67,0,0,0,0.331,1,1,0.5,1,0.5,0,0,0.5,0.5,0,1,1,Upper middle income,East Asia & Pacific,1,1412175000
Mali,MLI,2022,80,60.73333333,82.55625,29.06666667,45,59.47125,0.8,0.5,0.322,1,0.905333333,0.828166667,0.6665,0.7375,0.166666667,0.734,0,0.262,1,0.45,1,0,1,1,1,1,0.5,0.04,0.933,0.131,0.467,0.04,0.322,1,0.857,0.9,1,0.8,1,0.875,0.944,0.875,0.6,0.75,0.8,1,0.333,1,0.6,0.875,0.5,0,0,1,0.67,1,1,0,0,0.262,1,0.5,0,0.5,0.5,1,1,0,0,1,0,1,Low income,Sub-Saharan Africa,1,22593590
Bahrain,BHR,2022,80,72.8,52.3,61.73333333,30,59.36666667,0.8,0.5,0.684,1,0.4885,0.601333333,0.3335,0.581,0.833333333,0.198,1,0.438,-99,0.3,-99,1,1,1,1,0,0.5,0.767,0.776,0.571,0.474,0.833,0.684,1,0.286,0.5,0.72,0.6,0.2,0.625,0.833,0.375,0.5,0.5,0.4,1,0,0.667,0.6,0.562,1,0.5,1,0.33,0,0.33,0.33,0,1,0.438,,0.5,0,0.5,0.5,1,0,0,0.5,0,0,,High income,Middle East & North Africa,1,1472233
Sierra Leone,SLE,2022,80,65.33333333,78.95625,31.70833333,40,59.19958333,0.8,0.5,0.46,1,0.885666667,0.757333333,0.45,0.9375,0.333333333,0.4,0,0.535,1,0.4,1,0.5,1,1,1,0.5,0.5,0.064,0.843,0.214,0.433,0.743,0.46,1,0.714,0.8,0.8,1,1,1,0.944,0.75,0.5,0.75,0.6,1,0,0.9,1,0.875,1,0,0,0.67,0,0.33,1,0,0,0.535,1,0.5,0,0.5,0,1,1,0,0,1,0,1,Low income,Sub-Saharan Africa,1,8605718
Mauritania,MRT,2022,80,63.2,66.6125,24.48333333,60,58.85916667,0.8,0.5,0.396,1,0.614333333,0.764833333,0.6165,0.575,0.333333333,0.468,0,0.178,1,0.6,1,0,1,1,1,1,0.5,0.214,0.867,0.348,0.433,0.119,0.396,1,0.571,0.8,0.64,0.6,0.2,0.875,0.889,0.875,0.6,0.625,0.8,0.8,0.333,0.9,0.4,0.75,1,0,0,0.67,0,0.67,1,0,0,0.178,1,1,0.5,1,0.5,1,1,0,0,1,0,1,Lower middle income,Sub-Saharan Africa,1,4736139
"Iran, Islamic Rep.",IRN,2022,80,29.3,70.66875,68.625,45,58.71875,0.8,0.5,0.379,0,0.741833333,0.790666667,0.45,0.606,1,0.534,1,0.211,1,0.45,1,1,0,1,1,1,0.5,0.379,0.769,0.336,0.41,0,0.379,0,0.571,0.6,0.88,0.8,0.6,1,0.944,0.875,0.9,0.625,0.4,1,0,0.9,0.4,0.812,1,1,1,1,0.67,1,0,0,1,0.211,1,1,0.5,0.5,0.5,1,1,0,0,0,0,1,Lower middle income,Middle East & North Africa,1,88550570
Nigeria,NGA,2022,80,63.83333333,77.75625,31.45833333,40,58.60958333,0.8,0.5,0.415,1,0.835666667,0.823166667,0.5,0.744,0.333333333,0.6,0,0.325,-99,0.4,-99,0.5,1,1,1,0.5,0.5,0.393,0.867,0.336,0.481,0,0.415,1,0.714,0.9,0.8,0.6,1,1,0.889,0.875,0.7,0.875,0.6,1,0,1,0.8,0.688,0.5,0.5,0,1,0.67,0.33,1,0,0,0.325,,1,0,1,0,1,0,0,0,1,0,,Lower middle income,Sub-Saharan Africa,1,218541212
Guinea,GIN,2022,80,62.76666667,76.5625,23.53333333,50,58.5725,0.8,0.5,0.383,1,0.8615,0.744833333,0.5,0.806,0.333333333,0.334,0,0.274,1,0.5,1,0,1,1,1,1,0.5,0.024,1,0.369,0.5,0.024,0.383,1,0.714,0.9,0.68,1,1,0.875,0.944,0.875,0.3,0.75,0.6,1,0,1,0.8,0.812,1,0,0,0.67,0,0,1,0,0,0.274,1,1,1,0,0,1,1,0,0,1,0,1,Lower middle income,Sub-Saharan Africa,1,13859341
Lebanon,LBN,2022,60,61.56666667,79.575,51.3,40,58.48833333,0.6,0.5,0.347,1,0.702333333,0.873166667,0.8335,0.806,0.5,0.332,1,0.22,-99,0.4,-99,0,0,1,1,1,0.5,0.633,0.502,0.267,0.333,0,0.347,1,0.714,0.7,0.8,0.6,0.4,1,0.889,0.875,0.8,0.875,0.8,1,0.667,1,0.8,0.812,0,0.5,1,0.33,0,0.33,1,0,1,0.22,,1,0,0,0.5,1,1,0,0.5,0,0,,Lower middle income,Middle East & North Africa,1,5489739
Afghanistan,AFG,2022,80,59.43333333,78.6375,18.7,55,58.35416667,0.8,0.5,0.283,1,0.789,0.828166667,0.8335,0.606,0,0.6,0,0.148,-99,0.55,-99,0,1,1,1,1,0.5,0.098,0.819,0.09,0.41,0,0.283,1,0.714,0.9,0.72,0.6,0.8,1,0.944,0.875,0.6,0.75,1,0.8,0.667,1,0.4,0.812,0,0,0,1,0,1,0.67,0.33,0,0.148,,0.5,0.5,0,0.5,1,1,0.5,0.5,1,0,,Low income,South Asia,1,41128771
Lesotho,LSO,2022,80,29.36666667,76.2875,43.35833333,60,57.8025,0.8,0.5,0.381,0,0.829,0.782333333,0.5,0.769,0.833333333,0.534,0,0.367,1,0.6,1,0,1,1,1,1,0.5,0.317,0.805,0.293,0.443,0.048,0.381,0,0.714,0.9,0.76,0.8,0.8,1,0.944,0.875,0.4,0.875,0.6,1,0,1,0.6,0.938,1,0.5,1,1,1,0,0.67,0,0,0.367,1,1,0.5,0.5,0.5,1,1,0,0.5,1,0,1,Lower middle income,Sub-Saharan Africa,1,2305825
Guyana,GUY,2022,70,62.73333333,71.5125,33.00833333,45,56.45083333,0.7,0.5,0.382,1,0.687666667,0.788833333,0.5165,0.775,0.333333333,0.466,0.5,0.021,-99,0.45,-99,0,1,1,0.5,1,0.5,0.243,0.633,0.229,0.317,0.49,0.382,1,0.571,0.6,0.88,0.4,0.8,0.875,0.833,0.75,0.6,0.75,0.8,1,0.333,0.7,0.8,0.75,1,0,0,0.33,0,1,1,0,0.5,0.021,,1,0.5,1,0,0,1,0,0,1,0,,High income,Latin America & Caribbean,1,808726
Iraq,IRQ,2022,60,64.53333333,78.29375,33.81666667,45,56.32875,0.6,0.5,0.436,1,0.7215,0.853166667,0.8335,0.706,0.166666667,0.466,0.5,0.22,1,0.45,1,0,1,0,1,1,0.5,0.212,0.786,0.238,0.321,0.624,0.436,1,0.714,0.9,0.84,0.4,0.6,0.875,0.944,0.75,0.8,0.625,1,1,0.667,1,0.6,0.812,0,0.5,0,1,0,0.33,1,0,0.5,0.22,1,0,0,0.5,0.5,1,1,0,0.5,1,0,1,Upper middle income,Middle East & North Africa,1,44496122
Namibia,NAM,2022,60,62.66666667,77.5875,25.25,55,56.10083333,0.6,0.5,0.38,1,0.728166667,0.869,0.778,0.6375,0.5,0.332,0,0.178,1,0.55,1,0,1,0,1,1,0.5,0.224,0.852,0.312,0.426,0.088,0.38,1,0.714,0.7,0.68,0.8,0.6,0.875,0.889,0.875,0.7,0.75,1,1,0.667,0.889,0.4,0.875,0.5,1,0,0.33,0,1,0.33,0,0,0.178,1,1,0.5,0.5,0.5,1,1,0,0,1,0,1,Upper middle income,Sub-Saharan Africa,1,2567012
Sao Tome and Principe,STP,2022,60,60.9,69.2375,52.35833333,35,55.49916667,0.6,0.5,0.327,1,0.741,0.649,0.5,0.869,0.333333333,0.268,1,0.493,1,0.35,1,0,1,1,1,0,0.5,0.048,0.786,0.279,0.521,0,0.327,1,0.571,0.8,0.8,0.8,0.6,0.875,0.944,0.5,0.35,0.5,0.6,1,0,1,0.8,0.938,1,0,0,0.67,0,0,0.67,0,1,0.493,1,0.5,0,0.5,0.5,1,0,0,0,1,0,1,Lower middle income,Sub-Saharan Africa,1,227380
Trinidad and Tobago,TTO,2022,60,61.2,64.1625,36.86666667,55,55.44583333,0.6,0.5,0.336,1,0.536,0.743,0.6835,0.6125,0.166666667,0.266,1,0.042,-99,0.55,-99,0,0,1,1,1,0.5,0.507,0.667,0.205,0.286,0.017,0.336,1,0.571,0.5,0.72,0.4,0.4,0.625,0.833,0.5,0.7,0.625,0.8,1,0.667,0.7,0.6,0.625,0.5,0,0,0,0,1,0.33,0,1,0.042,,1,0.5,0.5,0.5,1,1,0,0,1,0,,High income,Latin America & Caribbean,1,1531044
St. Vincent and the Grenadines,VCT,2022,60,67.43333333,60.90625,48.10833333,40,55.28958333,0.6,0.5,0.523,1,0.536,0.626333333,0.6165,0.769,0.333333333,0.198,1,0.393,0,0.4,0,0,1,1,1,0,0.5,0.583,0.767,0.421,0.36,0.486,0.523,1,0.571,0.5,0.72,0.6,0.2,0.625,0.833,0.5,0.4,0.625,0.6,0.8,0.333,0.9,0.6,0.938,1,0,0,0.33,0,0.33,0.33,0,1,0.393,0,1,0.5,0.5,0,1,0,0,0,1,0,0,Upper middle income,Latin America & Caribbean,1,103948
Cameroon,CMR,2022,60,64.16666667,82.09375,24.59166667,45,55.17041667,0.6,0.5,0.425,1,0.7915,0.840666667,0.8335,0.8375,0.166666667,0.534,0,0.283,1,0.45,1,0,1,1,1,0,0.5,0.302,0.9,0.298,0.524,0.1,0.425,1,0.714,0.8,0.76,1,0.6,0.875,0.944,0.625,0.6,0.875,1,1,0.667,1,0.8,0.875,0.5,0,0,0.67,0,0.33,1,0.67,0,0.283,1,1,0.5,1,0,1,0,0,0,1,0,1,Lower middle income,Sub-Saharan Africa,1,27914536
"Bahamas, The",BHS,2022,80,27.66666667,49.45625,38.51666667,75,54.12791667,0.8,0.5,0.33,0,0.370166667,0.633333333,0.3335,0.6125,0.666666667,0.332,0.5,0.042,-99,0.75,-99,1,1,1,1,0,0.5,0,0.833,0.312,0.507,0,0.33,0,0.286,0.4,0.76,0.2,0.2,0.375,1,0.5,0.4,0.5,0.4,1,0,0.667,0.6,0.625,1,0,1,0.33,0,1,0,0.33,0.5,0.042,,1,0.5,1,0.5,1,1,0.5,1,1,0,,High income,Latin America & Caribbean,1,409984
Tajikistan,TJK,2022,80,29.16666667,81.71875,49.6,30,54.09708333,0.8,0.5,0.375,0,0.812833333,0.8365,0.7835,0.806,1,0.4,0.5,0.084,1,0.3,1,0,1,1,1,1,0.5,0.479,0.66,0.293,0.443,0,0.375,0,0.857,0.9,0.92,0.6,0.6,1,0.944,0.625,0.9,0.75,1,0.8,0.667,0.9,0.8,0.812,1,1,1,1,0,0.33,0.67,0,0.5,0.084,1,0.5,1,0,0,0,0,0,0.5,1,0,1,Lower middle income,Europe & Central Asia,1,9952787
Madagascar,MDG,2022,60,60.56666667,78.1625,25.00833333,45,53.7475,0.6,0.5,0.317,1,0.757666667,0.814833333,0.6665,0.869,0.333333333,0.468,0,0.199,0,0.45,0,0,1,1,1,0,0.5,0.098,0.752,0.245,0.488,0,0.317,1,0.571,0.9,0.8,1,0.4,0.875,0.889,0.625,0.7,0.875,0.8,1,0.333,1,0.8,0.938,1,0,0,0.67,0,0.67,1,0,0,0.199,0,0.5,0,0,0.5,1,1,0,0.5,1,0,0,Low income,Sub-Saharan Africa,1,29611714
Angola,AGO,2022,60,60.76666667,71.33125,35.225,40,53.46458333,0.6,0.5,0.323,1,0.6525,0.7865,0.7835,0.606,0.5,0.668,0,0.241,-99,0.4,-99,0,1,1,1,0,0.5,0.19,0.729,0.295,0.4,0,0.323,1,1,0.6,0.64,0.4,0.4,0.875,0.944,0.5,0.6,0.875,1,0.8,0.667,0.9,0.4,0.812,1,0,0.5,0.67,0,1,0.67,1,0,0.241,,0.5,0,1,0.5,1,0,0,0,1,0,,Lower middle income,Sub-Saharan Africa,1,35588987
Nicaragua,NIC,2022,60,61.1,64.23125,23.30833333,55,52.72791667,0.6,0.5,0.333,1,0.640666667,0.693,0.4,0.7375,0.333333333,0.4,0,0.199,-99,0.55,-99,0,1,1,1,0,0.5,0.31,0.762,0.176,0.417,0,0.333,1,0.429,0.7,0.84,0.6,0.4,0.875,0.833,0.75,0.5,0.875,0.4,0.8,0,0.8,0.6,0.875,0.5,0.5,0,0.67,0,1,0.33,0,0,0.199,,1,1,0.5,0,1,1,0,0,1,0,,Lower middle income,Latin America & Caribbean,1,6948392
"Venezuela, RB",VEN,2022,80,59.9,62.25,34.1,25,52.25,0.8,0.5,0.297,1,0.5835,0.682833333,0.5,0.681,0.5,0.2,0.5,0.164,0,0.25,0,0,1,1,1,1,0.5,0.467,0.342,0.332,0.345,0,0.297,1,0.286,0.5,0.84,0.4,0.6,0.875,0.722,0.75,0.8,0.625,0.4,0.8,0,1,0.8,0.562,1,0.5,0,0,0,1,0,0,0.5,0.164,0,0.5,0,0,0,0,1,0,0,1,0,0,Not classified,Latin America & Caribbean,1,28301696
Eswatini,SWZ,2022,80,22.33333333,71.69375,24.3,60,51.66541667,0.8,0.5,0.17,0,0.682333333,0.762,0.7335,0.669,0.5,0.4,0,0.072,1,0.6,1,0,1,1,1,1,0.5,0,0.424,0.212,0.212,0,0.17,0,0.714,0.7,0.68,0.6,0.4,1,0.889,0.5,0.433,0.75,1,1,0.667,0.8,0.4,0.938,1,0,0.5,0.33,0,0.67,1,0,0,0.072,1,1,0,1,0.5,1,1,0,0.5,1,0,1,Lower middle income,Sub-Saharan Africa,1,1201670
"Congo, Dem. Rep.",COD,2022,70,62.43333333,67.5,17.15,40,51.41666667,0.7,0.5,0.373,1,0.7415,0.673166667,0.45,0.706,0,0.466,0,0.22,-99,0.4,0,0,1,1,1,0.5,0.5,0.129,0.833,0.424,0.417,0.064,0.373,1,0.429,0.9,0.72,0.8,0.6,1,0.889,0.625,0.5,0.625,0.6,0.8,0,0.9,0.6,0.812,0,0,0,0.33,0,0.33,1,0.67,0,0.22,,0.5,0,0.5,0,1,1,0,0,1,0,0,Low income,Sub-Saharan Africa,1,99010212
Burundi,BDI,2022,60,62.86666667,79.6625,19.14166667,35,51.33416667,0.6,0.5,0.386,1,0.834833333,0.7615,0.778,0.806,0.166666667,0.4,0,0.199,1,0.35,1,0,1,1,0.5,0.5,0.5,0.19,0.852,0.386,0.443,0.057,0.386,1,0.714,0.9,0.72,1,0.8,0.875,0.944,0.5,0.7,0.625,1,0.8,0.667,0.889,0.8,0.812,0.5,0,0,1,0.33,0,0.67,0,0,0.199,1,0.5,0,0.5,0.5,1,0,0,0,1,0,1,Low income,Sub-Saharan Africa,1,12889576
Vanuatu,VUT,2022,56.6,59.06666667,72.225,33.20833333,35,51.22,0.566,0.5,0.272,1,0.670833333,0.7815,0.7835,0.6375,0.833333333,0.266,0,0.229,1,0.35,1,0,1,0.33,1,0.5,0.5,0.133,0.683,0.148,0.398,0,0.272,1,1,0.6,0.6,0.6,0.6,0.625,0.889,0.75,0.5,0.75,0.8,1,0.667,0.9,0.4,0.875,1,0.5,1,1,0,0,0.33,0,0,0.229,1,0.5,0,0,0,1,1,0,0,1,0,1,Lower middle income,East Asia & Pacific,1,326740
St. Kitts and Nevis,KNA,2022,60,66.66666667,44.7875,43.55833333,35,50.0025,0.6,0.5,0.5,1,0.291,0.568,0.3,0.706,0.333333333,0.132,1,0.277,1,0.35,1,0,1,1,1,0,0.5,0.6,0.667,0.267,0.348,0.619,0.5,1,0.286,0.4,0.36,0,0.2,0.5,0.833,0.375,0.3,0.5,0.4,1,0,0.6,0.6,0.812,1,0,0,0.33,0,0,0.33,0,1,0.277,1,1,0,0.5,0,1,0,0,0,1,0,1,High income,Latin America & Caribbean,1,47657
Chad,TCD,2022,63.4,59.2,75.84375,19.44166667,30,49.57708333,0.634,0.5,0.276,1,0.842333333,0.744833333,0.5,0.806,0.166666667,0.4,0,0.211,0,0.3,0,0,1,0.67,1,0.5,0.5,0.143,0.605,0.307,0.326,0,0.276,1,0.714,0.78,0.76,1,0.8,1,0.944,0.875,0.5,0.75,0.6,0.8,0,1,0.8,0.812,0.5,0,0,0.67,0.33,0,1,0,0,0.211,0,0.5,0,0,0.5,1,0,0,0,1,0,0,Low income,Sub-Saharan Africa,1,17723315
Somalia,SOM,2022,80,47.86666667,69.7,4.35,40,48.38333333,0.8,0,0.436,1,0.657333333,0.727333333,0.778,0.644,0,0.132,0,0.042,-99,0.4,-99,0,1,1,1,1,0,0.21,0.705,0.4,0.386,0.479,0.436,1,0.714,0.56,0.72,0.4,0.8,0.75,0.889,0.625,0.5,0.75,0.8,0.8,0.667,0.889,0.6,0.688,0,0,0,0.33,0,0.33,0,0,0,0.042,,1,0.5,0,0,1,1,0.5,0,0,0,,Low income,Sub-Saharan Africa,1,17597511
Palau,PLW,2022,40,59.56666667,56.38125,45.65833333,40,48.32125,0.4,0.5,0.287,1,0.501833333,0.616666667,0.611,0.544,0.333333333,0.066,1,0.427,1,0.4,1,0,1,0,1,0,0.5,0.129,0.767,0.157,0.383,0,0.287,1,0.571,0.5,0.44,0.6,0.4,0.5,1,0.5,0.3,0.5,0.6,0.8,0.333,0.889,0.4,0.688,1,0,0,0.33,0,0,0,0,1,0.427,1,0.5,0.5,1,0,1,0,0,1,0,0,1,Upper middle income,East Asia & Pacific,1,18055
Solomon Islands,SLB,2022,50,59.26666667,65.8125,15.90833333,50,48.1975,0.5,0.5,0.278,1,0.595666667,0.669,0.7335,0.7375,0.333333333,0.134,0,0.169,-99,0.5,-99,0,1,1,0.5,0,0.5,0.114,0.686,0.205,0.383,0,0.278,1,0.714,0.6,0.76,0.6,0.4,0.5,0.889,0.5,0.4,0.625,0.8,0.8,0.667,0.8,0.6,0.875,1,0,0,0.67,0,0,0,0,0,0.169,,0.5,0.5,0.5,0.5,1,1,0,0,1,0,,Lower middle income,East Asia & Pacific,1,724273
Antigua and Barbuda,ATG,2022,60,26.9,64.5625,49.29166667,40,48.15083333,0.6,0.5,0.307,0,0.570666667,0.720833333,0.778,0.5125,0.666666667,0,1,0.305,0,0.4,0,0,1,1,1,0,0.5,0.257,0.5,0.107,0.298,0.371,0.307,0,0.714,0.4,0.76,0.6,0.2,0.75,1,0.5,0.4,0.625,0.8,1,0.667,0.889,0.4,0.625,0.5,0.5,1,0,0,0,0,0,1,0.305,0,1,0,0.5,0.5,1,0,0,0,1,0,0,High income,Latin America & Caribbean,1,93763
Djibouti,DJI,2022,50,59.46666667,63.76875,14.51666667,45,46.55041667,0.5,0.5,0.284,1,0.644,0.6815,0.45,0.675,0.166666667,0.266,0,0.148,0,0.45,0,0,0,1,1,0.5,0.5,0.098,0.767,0.171,0.383,0,0.284,1,0.714,0.6,0.6,0.8,0.4,0.75,0.889,0.75,0.5,0.75,0.4,0.8,0,0.9,0.6,0.75,0.5,0,0,1,0,0,0.33,0,0,0.148,0,1,0.5,0,0.5,1,0,0,0.5,1,0,0,Lower middle income,Middle East & North Africa,1,1120849
Papua New Guinea,PNG,2022,60,59.2,70.59375,11.76666667,30,46.31208333,0.6,0.5,0.276,1,0.7015,0.694833333,0.7835,0.675,0.166666667,0.066,0,0.238,-99,0.3,-99,0,1,1,1,0,0.5,0.243,0.557,0.255,0.326,0,0.276,1,0.714,0.7,0.72,0.6,0.6,0.875,0.944,0.5,0.5,0.625,0.8,0.8,0.667,0.9,0.6,0.75,0.5,0,0,0,0,0,0.33,0,0,0.238,,0.5,0.5,0,0,1,0,0,0,1,0,,Lower middle income,East Asia & Pacific,1,10142619
Dominica,DMA,2022,60,28.26666667,59.26875,43.425,30,44.19208333,0.6,0.5,0.348,0,0.475666667,0.626333333,0.6665,0.769,0.5,0,1,0.237,1,0.3,1,0,1,1,1,0,0.5,0.145,0.571,0.221,0.286,0.514,0.348,0,0.429,0.6,0.4,0.6,0.2,0.625,0.833,0.5,0.4,0.625,0.4,1,0.333,1,0.6,0.938,0.5,1,0,0,0,0,0,0,1,0.237,1,0.5,0,0.5,0,1,0,0,0,1,0,1,Upper middle income,Latin America & Caribbean,1,72737
